Year,Species,Pounds
1973,Unidentified,0
1973,Red,663919
1973,Pink,371352
1973,Green,156804
1973,White,83112
1973,Black,1912519
1973,TotalLandings,3187706
1974,Unidentified,0
1974,Red,751060
1974,Pink,455324
1974,Green,121563
1974,White,113765
1974,Black,1145396
1974,TotalLandings,2587108
1975,Unidentified,0
1975,Red,742769
1975,Pink,458235
1975,Green,170927
1975,White,71821
1975,Black,684793
1975,TotalLandings,2128545
1976,Unidentified,0
1976,Red,739621
1976,Pink,431143
1976,Green,120489
1976,White,81907
1976,Black,356951
1976,TotalLandings,1730111
1977,Unidentified,0
1977,Red,537450
1977,Pink,318494
1977,Green,97457
1977,White,17603
1977,Black,463301
1977,TotalLandings,1434305
1978,Unidentified,0
1978,Red,488800
1978,Pink,287052
1978,Green,92987
1978,White,3633
1978,Black,420045
1978,TotalLandings,1292517
1979,Unidentified,0
1979,Red,439476
1979,Pink,156491
1979,Green,61166
1979,White,502
1979,Black,331489
1979,TotalLandings,989124
1980,Unidentified,0
1980,Red,516304
1980,Pink,139267
1980,Green,63234
1980,White,1071
1980,Black,518619
1980,TotalLandings,1238495
1981,Unidentified,112
1981,Red,429922
1981,Pink,94257
1981,Green,64003
1981,White,162
1981,Black,521007
1981,TotalLandings,1109463
1982,Unidentified,256
1982,Red,430902
1982,Pink,86282
1982,Green,88696
1982,White,907
1982,Black,633400
1982,TotalLandings,1240443
1983,Unidentified,55
1983,Red,230973
1983,Pink,67239
1983,Green,56910
1983,White,482
1983,Black,484366
1983,TotalLandings,840025
1984,Unidentified,1156
1984,Red,299477
1984,Pink,57128
1984,Green,31946
1984,White,449
1984,Black,436359
1984,TotalLandings,826514
1985,Unidentified,1015
1985,Red,368499
1985,Pink,68731
1985,Green,24133
1985,White,1655
1985,Black,359898
1985,TotalLandings,823931
1986,Unidentified,5777
1986,Red,263070
1986,Pink,51872
1986,Green,25854
1986,White,876
1986,Black,267514
1986,TotalLandings,614962
1987,Unidentified,1550
1987,Red,391030
1987,Pink,31597
1987,Green,28985
1987,White,2
1987,Black,309786
1987,TotalLandings,762951
1988,Unidentified,75
1988,Red,324434
1988,Pink,19025
1988,Green,23521
1988,White,2
1988,Black,201660
1988,TotalLandings,568716
1989,Unidentified,775
1989,Red,474978
1989,Pink,22554
1989,Green,20150
1989,White,22
1989,Black,222671
1989,TotalLandings,741150
1990,Unidentified,217
1990,Red,378914
1990,Pink,23268
1990,Green,27333
1990,White,17
1990,Black,94193
1990,TotalLandings,523942
1991,Unidentified,1350
1991,Red,330974
1991,Pink,12883
1991,Green,8162
1991,White,3
1991,Black,27220
1991,TotalLandings,380593
1992,Unidentified,0
1992,Red,448593
1992,Pink,18229
1992,Green,10304
1992,White,0
1992,Black,37714
1992,TotalLandings,514840
1993,Unidentified,0
1993,Red,428518
1993,Pink,19932
1993,Green,10858
1993,White,0
1993,Black,2031
1993,TotalLandings,461340
1994,Unidentified,15
1994,Red,285969
1994,Pink,15575
1994,Green,992
1994,White,47
1994,Black,0
1994,TotalLandings,302596
1995,Unidentified,0
1995,Red,244807
1995,Pink,16398
1995,Green,1073
1995,White,37
1995,Black,0
1995,TotalLandings,262314
1996,Unidentified,67
1996,Red,229252
1996,Pink,4
1996,Green,56
1996,White,0
1996,Black,0
1996,TotalLandings,229379
1997,Unidentified,0
1997,Red,112323
1997,Pink,0
1997,Green,0
1997,White,0
1997,Black,0
1997,TotalLandings,112323
