animalID,season,age,adate,aday,firstwith,dist15,dist10,dist5,distmax
1592,2003,,1/23/2003,54,62,,,,
16500,2005,5,1/20/2005,51,56,932.8175783,554.6173976,75.94780194,3316.310739
14426,2005,,1/10/2005,41,46,530.8115796,287.731486,56.00934223,4034.787553
13976,2005,10,1/10/2005,41,46,510.2869282,274.1917562,45.4892018,1695.653225
16157,2005,6,1/16/2005,47,52,893.9356401,509.8426936,72.59675631,
16434,2005,6,1/15/2005,46,51,,,,
20163,2005,,1/30/2005,61,65,437.9155348,137.4357212,126.7945471,4047.530734
15194,2005,,1/27/2005,58,64,664.2418634,377.9247349,2.47255246,2080.355335
16511,2005,,2/8/2005,70,71,,,,
15316,2005,9,1/23/2005,54,61,586.2687173,260.3526497,1.445669611,3836.822778
15706,2005,7,1/24/2005,55,59,,,,
13709,2005,10,1/28/2005,59,65,168.8593621,200.781179,20.75812933,4040.696871
16608,2005,5,2/5/2005,67,71,,,,
14129,2006,11,1/8/2006,39,42,869.1136279,512.933357,202.4603638,3590.410039
15391,2006,9,1/5/2006,36,42,805.1165068,409.4968304,3.811778831,1865.338144
17045,2006,5,1/1/2006,32,39,579.2053353,283.8227569,1.039892109,2565.458176
16105,2006,,1/11/2006,42,49,660.6081672,302.3736897,0.780211622,4089.443001
13134,2006,12,1/3/2006,34,40,649.5324675,377.3199408,14.63260643,
13938,2006,11,1/8/2006,39,46,422.0624938,172.662006,0.978112473,2764.445958
15676,2006,8,1/5/2006,36,40,41.19841238,38.1062185,25.52291945,1687.033229
13976,2006,11,1/14/2006,45,50,534.7154958,324.7268685,78.58269475,1840.055068
15911,2006,8,1/13/2006,44,52,650.1772704,292.9944957,2.483212944,2265.27788
1602,2006,,1/22/2006,53,59,778.6135741,401.3326464,4.507553708,4351.052203
10918,2007,18,1/4/2007,35,43,586.3441643,220.7565707,2.059555235,5207.692
14883,2007,5,1/14/2007,45,49,700.8367645,474.7567205,160.3227692,2591.742
14092,2007,12,1/15/2007,46,52,548.9353892,317.7300486,0.800635678,3702.823
15863,2007,9,1/23/2007,54,57,1194.761224,747.4542949,239.0477511,5267.001
15035,2007,11,1/27/2007,58,63,,,,
16489,2007,7,1/15/2007,46,51,734.9858602,390.9053272,39.93096544,1786.411
1479,2007,5,1/19/2007,50,55,773.8782887,534.6136192,130.1623483,2054.598
1230,2007,5,1/14/2007,45,51,371.1027897,55.52483776,1.788084962,4314.889
15849,2007,9,1/15/2007,46,53,610.0393097,303.0561007,1.039892109,2858.911
16563,2007,7,1/21/2007,52,57,723.2064358,230.5056186,55.58837446,
14759,2007,11,1/19/2007,50,54,874.2399311,558.6086608,111.908897,3811.08
16968,2007,6,1/21/2007,52,57,836.7858729,505.9055156,78.05345801,3508.7
14426,2007,,1/22/2007,53,57,625.3195441,330.7045195,52.77719678,3854.846
16359,2007,5,1/21/2007,52,60,360.6994321,155.0197619,1.594327186,2824.646
15685,2007,9,1/23/2007,54,60,546.1263421,198.6557453,5.981517855,2927.285
15609,2008,10,1/17/2008,48,55,481.4377573,218.0527073,1.115357867,3590.292
19983,2008,7,1/13/2008,44,48,915.8998679,534.3667312,184.7679573,4282.237
16236,2008,9,1/17/2008,48,53,756.8008333,372.6668427,45.78294751,3615.155
15340,2008,11,1/7/2008,38,44,803.5911393,388.2225604,22.62485581,2209.359
2810,2009,,12/28/2008,28,34,553.3931243,268.0341373,2.856565729,2991.038
1685,2009,,1/1/2009,32,39,736.6698386,352.5580995,2.443893491,3822.455
16142,2009,10,1/4/2009,35,41,652.2269106,375.5844025,10.89872021,
15701,2009,11,1/9/2009,40,45,868.2211448,460.971682,61.03887053,3656.007
2456,2009,5,1/9/2009,40,44,515.8532361,340.2356793,117.6879583,3875.752
17562,2009,,1/9/2009,40,46,716.7610658,474.3216096,14.40676412,1732.442
3163,2010,,1/21/2010,52,57,636.5415261,311.7131264,120.9038151,2006.739
1920,2010,7,1/14/2010,45,50,402.9296497,218.1411102,11.56968072,3532.316
1685,2011,,12/29/2010,29,35,691.6567124,395.8132207,4.098124732,3942.661
17408,2011,,1/13/2011,44,48,1258.806352,760.5774626,180.1861082,4897.697
16157,2011,12,1/13/2011,44,48,1043.522409,615.788576,199.2794941,
15701,2011,13,1/9/2011,40,46,718.3812187,370.0680073,2.240013163,
20163,2011,,1/8/2011,39,45,1465.445908,941.1220148,447.6695263,4325.71
16237,2011,12,1/13/2011,44,50,639.3927163,371.706408,1.129743409,2361.659
15391,2011,14,1/1/2011,32,43,380.9330278,2.200762164,2.200762164,1861.825
3163,2011,,1/24/2011,55,59,820.7473808,544.7188755,126.5762963,1871.587
3218,2011,6,1/11/2011,42,48,292.980301,248.4481414,2.337306337,909.1063
2501,2011,7,1/19/2011,50,54,977.7261741,575.1084828,143.305742,2934.184
17210,2012,7,1/5/2012,36,39,190.2807726,25.9380401,24.44898546,3069.342
933,2012,9,1/10/2012,41,46,611.9595108,351.6220421,64.76873613,1906.098
3778,2012,6,1/8/2012,39,44,650.2745527,371.2065594,43.67437776,1928.335
3218,2012,7,1/17/2012,48,55,599.2061098,264.553586,1.677660284,1723.813
17671,2012,6,1/15/2012,46,52,653.043998,300.32672,1.069389629,1759.906
19988,2012,11,1/23/2012,54,60,655.0872652,334.0064692,1.692635267,3697.012
1803,2012,9,1/24/2012,55,59,1020.100825,562.4801375,122.400999,1273.197
17333,2012,7,1/12/2012,43,49,575.7379667,289.7086242,0.482207013,3553.777
3674,2012,6,1/17/2012,48,56,608.4023473,182.8548936,4.181243014,4059.879
1403,2012,10,1/26/2012,57,61,938.0446512,580.2708507,194.3511998,5285.292
17516,2012,7,1/25/2012,56,63,578.9812139,260.7824593,1.680959968,4014.424
20643,2012,5,1/17/2012,48,54,890.7419082,396.0195359,18.61350085,4795.561
20437,2012,5,1/17/2012,48,55,182.9224353,123.3828167,1.039892109,3044.181
16434,2012,13,1/21/2012,52,56,,,,
17087,2012,7,1/25/2012,56,60,957.9533452,548.7109826,152.5505941,5271.815
19971,2013,12,12/28/2012,28,35,662.8563141,287.7460416,2.481558303,
17094,2013,8,1/2/2013,33,39,292.7106224,216.6954539,0.842999522,2256.294
20844,2013,6,12/31/2012,31,36,826.9338274,448.0208737,44.48849198,4112.875
3211,2013,8,1/20/2013,51,54,1185.11917,726.6334851,284.3706409,2885.129
20873,2013,6,1/13/2013,44,50,583.9451933,184.0941262,3.731160234,2245.598
20419,2013,6,1/6/2013,37,42,602.8928881,331.2451783,58.68737075,
16792,2013,13,1/19/2013,50,54,1018.621207,586.4697897,135.4375594,5012.484
21055,2013,6,1/15/2013,46,52,537.2768043,195.5662744,0.869888704,3661.592
22375,2013,6,1/27/2013,58,61,1199.236196,774.7111822,313.3066816,2446.859
41088,2013,,1/18/2013,49,52,909.2117533,595.279722,230.7114484,3610.205
43063,2014,,1/2/2014,33,40,351.6522433,107.8701258,0.968632164,1689.875
20844,2014,7,1/7/2014,38,46,522.3222389,158.6313337,0.976063868,3849.016
43068,2014,,1/20/2014,51,57,762.3635338,361.8990932,3.226420026,
43070,2014,,1/21/2014,52,59,250.6967442,138.0827201,1.039892109,2908.775
34525,2014,5,1/26/2014,57,61,941.2029614,591.0571954,127.7346052,3305.855
36741,2014,,1/15/2014,46,52,640.7789336,353.3166955,1.039892109,3910.6
17258,2014,9,1/19/2014,49,57,526.0663799,183.4444141,1.038070257,
34525,2015,6,1/20/2015,51,59,545.9774784,236.1521572,1.039893074,2885.709
17258,2015,10,1/22/2015,53,61,180.3359458,55.42257654,1.034060802,3996.662
20643,2015,8,1/22/2015,53,57,1346.099081,894.0382632,402.4266263,5507.236
34244,2016,7,1/6/2016,37,43,870.9569481,494.9061819,0.902815317,2475.714
36707,2016,6,1/16/2016,47,51,977.3057466,619.1088438,217.2340208,3497.621
36444,2016,7,1/9/2016,40,44,1071.376274,675.0796943,223.7553297,3723.45
38463,2016,5,1/17/2016,48,52,893.45772,528.8318399,134.6619038,3296.36
36813,2016,6,1/19/2016,50,56,846.1759208,457.4286112,19.9263783,2393.72
38574,2016,5,1/19/2016,50,56,731.7530578,352.6960595,2.614335504,4374.802
34120,2016,7,1/18/2016,49,56,632.8938206,243.2841222,1.982930532,4049.237
2078,2016,13,1/16/2016,47,51,591.3862299,341.4252697,90.18838656,5342.59
36358,2016,6,1/21/2016,52,57,626.9403835,316.5373054,45.7026283,2061.554
33783,2016,8,1/19/2016,50,57,560.9227779,274.6118713,1.112361729,4203.533
32824,2016,8,1/18/2016,49,54,972.8815165,569.5223094,82.88103436,2803.917
